transaction_date,amount,category_id,category_name,description
2024-07-23,252.22,5,Shopping,Furniture shopping at IKEA
2024-06-29,135.16,6,Dining,Coffee at Starbucks
2024-12-03,140.45,4,Utilities,Electricity bill payment
2024-07-19,86.44,9,Other,Unexpected expense
2024-06-06,374.4,7,Health & Fitness,Fitness abo at Holmes Place
2024-12-25,323.66,9,Other,Gift purchase at Manor
2024-12-30,183.75,4,Utilities,Utilities bill
2024-06-17,122.76,6,Dining,Lunch at Tibits
2024-12-29,30.44,1,Groceries,Shopping at Coop
2024-12-09,107.61,9,Other,Unexpected expense
2024-05-29,256.97,5,Shopping,Clothing at H&M
2025-01-20,938.66,9,Other,Bank service fee
2024-11-12,17.69,3,Transportation,Halb-Tax (Swiss railway discount)
2024-09-05,214.06,2,Entertainment,Netflix monthly subscription
2024-05-19,249.39,9,Other,Car parking fee
2024-10-19,171.54,4,Utilities,Mobile bill at Salt
2025-01-25,85.5,3,Transportation,Fill up car at Esso
2024-09-28,122.08,1,Groceries,Organic food at Alnatura
2024-12-09,505.74,9,Other,Unexpected expense
2025-02-26,177.64,8,Education,German language class
2024-04-03,19.43,3,Transportation,Fill up car at Esso
2024-10-09,297.37,7,Health & Fitness,Doctor consultation at MedBase
2024-03-13,118.3,4,Utilities,Swisscom internet subscription
2025-03-05,468.16,7,Health & Fitness,Yoga class subscription
2024-06-20,81.99,7,Health & Fitness,Fitness abo at Holmes Place
2024-04-19,154.34,5,Shopping,Clothing at H&M
2025-01-10,22.12,7,Health & Fitness,Doctor consultation at MedBase
2024-06-08,149.36,3,Transportation,Tram pass renewal
2024-07-22,143.46,6,Dining,Weekend brunch at Sprüngli
2024-03-15,140.57,6,Dining,Dinner at Vapiano
2024-08-15,895.59,9,Other,Bank service fee
2025-02-19,51.55,1,Groceries,Shopping at Migros
2025-01-22,143.19,1,Groceries,Shopping at Migros
2025-01-18,267.17,5,Shopping,Shoe shopping at Ochsner Sport
2024-06-13,578.05,9,Other,Unexpected expense
2024-05-18,497.48,9,Other,Charity donation
2025-01-09,159.63,9,Other,Gift purchase at Manor
2024-09-28,27.43,1,Groceries,Weekly grocery shopping
2025-01-31,119.14,6,Dining,Weekend brunch at Sprüngli
2024-08-06,83.81,6,Dining,Lunch at Tibits
2024-11-18,55.82,8,Education,German language class
2025-01-02,94.25,6,Dining,Weekend brunch at Sprüngli
2024-11-28,17.0,3,Transportation,Train ticket Zürich to Bern
2024-09-27,127.37,1,Groceries,Weekly grocery shopping
2024-03-29,51.55,3,Transportation,Halb-Tax (Swiss railway discount)
2025-03-01,69.74,6,Dining,Lunch at Tibits
2024-04-20,563.12,9,Other,Charity donation
2024-04-18,258.24,5,Shopping,Electronics at Interdiscount
2024-06-07,164.88,2,Entertainment,Zürich Opera House ticket
2024-10-19,59.13,5,Shopping,Shoe shopping at Ochsner Sport
